sample_id,group,dataset,IPS_raw,IPS_normalized
GSM648595,sepsis,GSE26440,89.12060256689865,0.12586237380664253
GSM648596,sepsis,GSE26440,66.72728741287088,0.09167299872645868
GSM648597,sepsis,GSE26440,104.18716427793974,0.14886550335509927
GSM648598,sepsis,GSE26440,304.8725567048379,0.4552653422178592
GSM648599,sepsis,GSE26440,293.7107314989083,0.43822383559322087
GSM648600,sepsis,GSE26440,288.38565436378724,0.43009368343614657
GSM648601,sepsis,GSE26440,278.47376823244167,0.41496054256952086
GSM648602,sepsis,GSE26440,281.9306565673564,0.42023840567642456
GSM648603,sepsis,GSE26440,405.65234273165095,0.6091325959617355
GSM648604,sepsis,GSE26440,551.5727903991414,0.8319191232292195
GSM648605,sepsis,GSE26440,200.08086966894166,0.2952728503196204
GSM648606,sepsis,GSE26440,60.882655476837385,0.08274960743346699
GSM648607,sepsis,GSE26440,445.75035593046965,0.6703529201430792
GSM648608,sepsis,GSE26440,578.9518587152241,0.8737205818147816
GSM648609,sepsis,GSE26440,365.975108091152,0.5485547026066068
GSM648610,sepsis,GSE26440,340.1710025180815,0.5091578451972344
GSM648611,sepsis,GSE26440,38.983330765016504,0.04931444066940195
GSM648612,sepsis,GSE26440,114.3495294670195,0.16438106738666064
GSM648613,sepsis,GSE26440,103.21082176512769,0.1473748558048076
GSM648614,sepsis,GSE26440,100.79704277547536,0.1436895776461136
GSM648615,sepsis,GSE26440,162.61058777731222,0.23806445963956885
GSM648616,sepsis,GSE26440,12.497581069324998,0.008876871493183348
GSM648617,sepsis,GSE26440,45.301496797296664,0.058960808204119114
GSM648618,sepsis,GSE26440,79.71907133231589,0.11150842596567716
GSM648619,sepsis,GSE26440,212.6877613447794,0.3145206367744517
GSM648620,sepsis,GSE26440,168.21604576097906,0.24662268802967507
GSM648621,sepsis,GSE26440,60.04270378960405,0.08146719689770991
GSM648622,sepsis,GSE26440,304.4158110474259,0.4545679980108897
GSM648623,sepsis,GSE26440,82.12643296236932,0.11518390631137021
GSM648624,sepsis,GSE26440,440.1215586203034,0.6617590580389686
GSM648625,sepsis,GSE26440,76.92467542370056,0.1072420344472692
GSM648626,sepsis,GSE26440,173.8588001309524,0.2552378593124168
GSM648627,sepsis,GSE26440,267.89361164231,0.3988071084049493
GSM648628,sepsis,GSE26440,144.3655966659612,0.21020860890241688
