threshold,TP,TN,FP,FN,sensitivity,specificity,Youden,accuracy
0.6056056056056056,28,21,0,54,0.34146341463414637,1.0,0.3414634146341464,0.47572815533980584
0.6066066066066066,28,21,0,54,0.34146341463414637,1.0,0.3414634146341464,0.47572815533980584
0.6076076076076076,28,21,0,54,0.34146341463414637,1.0,0.3414634146341464,0.47572815533980584
0.6086086086086087,28,21,0,54,0.34146341463414637,1.0,0.3414634146341464,0.47572815533980584
0.6096096096096096,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6106106106106106,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6116116116116116,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6126126126126126,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6136136136136137,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6146146146146146,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6156156156156156,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6166166166166166,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6176176176176176,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6186186186186187,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6196196196196196,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6206206206206206,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6216216216216216,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6226226226226226,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6236236236236237,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6246246246246246,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6256256256256256,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6266266266266266,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6276276276276276,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6286286286286287,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6296296296296297,26,21,0,56,0.3170731707317073,1.0,0.3170731707317074,0.4563106796116505
0.6306306306306306,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6316316316316316,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6326326326326326,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6336336336336337,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6346346346346347,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6356356356356356,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6366366366366366,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6376376376376376,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6386386386386387,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6396396396396397,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6406406406406406,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6416416416416416,25,21,0,57,0.3048780487804878,1.0,0.30487804878048785,0.44660194174757284
0.6426426426426426,24,21,0,58,0.2926829268292683,1.0,0.29268292682926833,0.4368932038834951
0.6436436436436437,24,21,0,58,0.2926829268292683,1.0,0.29268292682926833,0.4368932038834951
