sample_id,Mars_Type,cohort,IPS_score,IPS_group
GSM1692050,Mars2,Validation,0.061049468850563234,Low
GSM1692051,Mars1,Validation,0.09390504941244426,Low
GSM1692052,Mars2,Validation,0.006012474313430542,Low
GSM1692055,Mars4,Validation,0.012039574513709008,Low
GSM1692056,Mars1,Validation,0.2758062438819715,Low
GSM1692058,Mars2,Validation,0.1127959360880515,Low
GSM1692059,Mars2,Validation,0.028383427069031568,Low
GSM1692060,Mars1,Validation,0.06853304565657029,Low
GSM1692061,Mars2,Validation,0.10186750777484947,Low
GSM1692063,Mars4,Validation,0.011825587679789015,Low
GSM1692064,Mars1,Validation,0.0141023476729957,Low
GSM1692065,Mars1,Validation,0.03173556107375879,Low
GSM1692066,Mars4,Validation,0.00977394939024996,Low
GSM1692068,Mars3,Validation,0.016300348772775367,Low
GSM1692071,Mars2,Validation,0.08188995270588821,Low
GSM1692073,Mars4,Validation,0.10020226982546468,Low
GSM1692074,Mars2,Validation,0.02907745115794854,Low
GSM1692077,Mars3,Validation,0.012648630393495838,Low
GSM1692079,Mars4,Validation,0.03486790574501933,Low
GSM1692081,Mars1,Validation,0.13774286609628508,Low
GSM1692084,Mars2,Validation,0.10077123310522314,Low
GSM1692086,Mars2,Validation,0.036275181974699984,Low
GSM1692087,Mars3,Validation,0.028500581102193594,Low
GSM1692089,Mars3,Validation,0.07551605316705394,Low
GSM1692092,Mars3,Validation,0.11806812201271161,Low
GSM1692093,Mars3,Validation,0.03137174800557947,Low
GSM1692094,Mars3,Validation,0.013733892847859235,Low
GSM1692096,Mars2,Validation,0.10517682285863873,Low
GSM1692099,Mars4,Validation,0.13175111727468813,Low
GSM1692100,Mars1,Validation,0.09214114426423627,Low
GSM1692101,Mars4,Validation,0.07468128723406739,Low
GSM1692103,Mars2,Validation,0.01956450404654823,Low
GSM1692105,Mars1,Validation,0.06051253950488468,Low
GSM1692107,Mars2,Validation,0.0427368131469084,Low
GSM1692108,Mars2,Validation,0.015987579600890058,Low
GSM1692109,Mars1,Validation,0.03643715370684356,Low
GSM1692112,Mars2,Validation,0.07745842427692134,Low
GSM1692114,Mars2,Validation,0.035949605386409546,Low
GSM1692115,Mars1,Validation,0.1972217190115061,Low
GSM1692116,Mars3,Validation,0.05337215483707566,Low
GSM1692117,Mars2,Validation,0.012493702834770361,Low
GSM1692118,Mars4,Validation,0.10987577477754523,Low
